scv_mvp Results: 11 total, 11 passed, 0 failed
scv_gates Results: 10 total, 9 passed, 1 failed
scv_parser_wasm Results: 12 total, 12 passed, 0 failed
scv_storage Results: 6 total, 6 passed, 0 failed
scv_pack_import Results: 7 total, 4 passed, 3 failed
scv_delta_pack Results: 9 total, 1 passed, 8 failed
scv_merge Results: 5 total, 5 passed, 0 failed
scv_file_identity Results: 8 total, 8 passed, 0 failed
scv_pack_v2 Results: 8 total, 8 passed, 0 failed
scv_structural_match Results: 8 total, 5 passed, 3 failed
ALLDONE
