feature_id	source_scope	source_files	source_loc	target_capsule	phase	done_gate
assistant	assistant	1	87	llm_caret.claude_full.assistant	P6-support-utilities-and-hardening	all file and symbol matrix rows implemented/tested
bootstrap	bootstrap	1	1758	llm_caret.claude_full.bootstrap	P1-core-cli-runtime	all file and symbol matrix rows implemented/tested
bridge	bridge	31	12613	llm_caret.claude_full.bridge	P4-remote-bridge-and-server	all file and symbol matrix rows implemented/tested
buddy	buddy	6	1298	llm_caret.claude_full.buddy	P3-terminal-ui	all file and symbol matrix rows implemented/tested
cli	cli	19	12353	llm_caret.claude_full.cli	P1-core-cli-runtime	all file and symbol matrix rows implemented/tested
commands/add-dir	commands/add-dir	3	246	llm_caret.claude_full.commands/add-dir	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/advisor	commands/advisor	1	109	llm_caret.claude_full.commands/advisor	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/agents	commands/agents	2	21	llm_caret.claude_full.commands/agents	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/ant-trace	commands/ant-trace	1	1	llm_caret.claude_full.commands/ant-trace	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/autofix-pr	commands/autofix-pr	1	1	llm_caret.claude_full.commands/autofix-pr	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/backfill-sessions	commands/backfill-sessions	1	1	llm_caret.claude_full.commands/backfill-sessions	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/branch	commands/branch	2	310	llm_caret.claude_full.commands/branch	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/break-cache	commands/break-cache	1	1	llm_caret.claude_full.commands/break-cache	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/bridge	commands/bridge	2	534	llm_caret.claude_full.commands/bridge	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
commands/bridge-kick	commands/bridge-kick	1	200	llm_caret.claude_full.commands/bridge-kick	P2-tools-and-slash-commands	all file and symbol matrix rows implemented/tested
