symbol	declfile	category	ext_call_files	ext_call_hits	ext_word_files	examples
_get_bss_start	src/os/kernel/arch/x86_64/boot.spl	OS	0	0	3	
add_external	test/03_system/feature/usage/parser_functions_spec.spl	TEST	1	1	3	doc/06_spec/03_system/feature/usage/parser_functions_spec.md
align_of	src/compiler_rust/lib/std/src/core_nogc/arena.spl	PUBLIC_STDLIB_seed_std	32	85	189	doc/01_research/compiler/duplication/phase1_backend_duplicates.md,doc/05_design/compiler/backend/backend_shared_architecture.md,doc/06_spec/test/01_unit/compiler/backend/llvm_type_mapper_spec.md
async_join	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	0	0	3	
async_read_file	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	1	1	4	src/lib/nogc_async_mut/async_host/__init__.spl
async_select	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	0	0	3	
async_sleep	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	0	0	3	
async_write_file	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	0	0	3	
barrier_and_fence	src/compiler_rust/lib/std/src/gpu/kernel/memory.spl	PUBLIC_STDLIB_seed_std	1	1	4	doc/06_spec/system/compiler/modules/gpu_simd/gpu.md
create_streams	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/stream.spl	PUBLIC_STDLIB_seed_std	0	0	2	
default_device	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/device.spl	PUBLIC_STDLIB_seed_std	4	6	21	doc/01_research/ml/unified_tensor_interface.md,doc/05_design/language/resource/resource_sffi_binding_design_2026-08-06.md,src/compiler_rust/gpu/src/context.rs
default_stream	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/stream.spl	PUBLIC_STDLIB_seed_std	0	0	9	
device_count	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/device.spl	PUBLIC_STDLIB_seed_std	160	387	88	doc/02_requirements/language/llvm_backends/vulkan.md,doc/02_requirements/ml/cuda.md,doc/03_plan/os/simpleos/hw_qemu/simpleos_real_board_hardening_driver_plan.md
devices	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/device.spl	PUBLIC_STDLIB_seed_std	58	139	718	doc/01_research/ml/pytorch_wrapper_design.md,doc/05_design/os/simpleos/simpleos_wine_proton_steam_impl.md,doc/05_design/platform/ffi_wrapper_plan.md
disable_ffi_recording	test/01_unit/app/diagram/call_flow_profiling_spec.spl	TEST	4	5	6	doc/09_report/misc/runtime/ffi_direct_calls.md,doc/09_report/session/test_runner_bug_fixes_2026-02-14.md,doc/09_report/session/test_runner_fixes_summary_2026-02-14.md
enable_ffi_recording	test/01_unit/app/diagram/call_flow_profiling_spec.spl	TEST	4	6	8	doc/09_report/misc/runtime/ffi_direct_calls.md,doc/09_report/session/test_runner_bug_fixes_2026-02-14.md,doc/09_report/session/test_runner_fixes_summary_2026-02-14.md
ffi_func	test/03_system/feature/usage/parser_functions_spec.spl	TEST	3	3	6	doc/02_requirements/compiler/parsing/syntax/parser_functions.md,doc/06_spec/03_system/feature/usage/parser_functions_spec.md,doc/06_spec/feature/usage/parser_functions_spec.md
future_alloc_pending	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	0	0	3	
future_alloc_ready	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	0	0	2	
future_free	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	10	15	3	src/compiler_rust/build/jit_symbol_target/debug/build/simple-runtime-45e1c608d7e2385c/out/runtime_symbol_entries.rs,src/compiler_rust/runtime/src/monoio_waker.rs,src/compiler_rust/runtime/src/value/async_gen.rs
future_map	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	0	0	3	
future_poll	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	3	3	4	doc/02_requirements/language/concurrency/async_implementation_status.md,doc/09_report/2026/02/async_phase_1_3_type_system_2026-02-14.md,src/compiler/10.frontend/desugar/poll_generator.spl
future_poll_any	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	0	0	2	
future_then	src/lib/nogc_async_mut/async/sffi.spl	PUBLIC_STDLIB_src_lib	1	1	3	src/lib/nogc_sync_mut/src/future.spl
generate_sequence_ffi	test/01_unit/app/diagram/call_flow_profiling_spec.spl	TEST	4	5	6	doc/09_report/misc/runtime/ffi_direct_calls.md,doc/09_report/session/test_runner_bug_fixes_2026-02-14.md,doc/09_report/session/test_runner_fixes_summary_2026-02-14.md
group_id	src/compiler_rust/lib/std/src/gpu/kernel/core.spl	PUBLIC_STDLIB_seed_std	63	137	126	doc/01_research/compiler/simd/cpu_simd_scheduling.md,doc/01_research/compiler/simd/simd_to_tbb_transformation.md,doc/06_spec/system/compiler/modules/gpu_simd/gpu.md
group_id_dim	src/compiler_rust/lib/std/src/gpu/kernel/core.spl	PUBLIC_STDLIB_seed_std	0	0	2	
json_stringify_pretty	src/app/ffi_gen.specs/lib_wrappers.spl	GENERATOR_SPEC_INPUT	0	0	2	
local_id	src/compiler_rust/lib/std/src/gpu/kernel/core.spl	PUBLIC_STDLIB_seed_std	59	160	98	doc/01_research/compiler/simd/cpu_simd_scheduling.md,doc/01_research/compiler/simd/simd_to_tbb_transformation.md,doc/06_spec/system/compiler/modules/gpu_simd/gpu.md
local_id_dim	src/compiler_rust/lib/std/src/gpu/kernel/core.spl	PUBLIC_STDLIB_seed_std	0	0	2	
local_size	src/compiler_rust/lib/std/src/gpu/kernel/core.spl	PUBLIC_STDLIB_seed_std	32	58	38	doc/01_research/compiler/simd/cpu_simd_scheduling.md,doc/01_research/compiler/simd/simd_to_tbb_transformation.md,doc/06_spec/system/compiler/modules/gpu_simd/gpu.md
local_size_dim	src/compiler_rust/lib/std/src/gpu/kernel/core.spl	PUBLIC_STDLIB_seed_std	0	0	2	
lua_gettop	src/lib/nogc_sync_mut/lua/lua_sffi.spl	PUBLIC_STDLIB_src_lib	0	0	2	
lua_pushinteger	src/lib/nogc_sync_mut/lua/lua_sffi.spl	PUBLIC_STDLIB_src_lib	0	0	3	
lua_pushnumber	src/lib/nogc_sync_mut/lua/lua_sffi.spl	PUBLIC_STDLIB_src_lib	0	0	2	
lua_tointeger	src/lib/nogc_sync_mut/lua/lua_sffi.spl	PUBLIC_STDLIB_src_lib	0	0	2	
