claude_file	source_loc	extension	feature_id	target_simple_file	target_min_loc	target_capsule	implementation_action	primary_tests	done_gate
assistant/sessionHistory.ts	87	ts	assistant	src/app/llm_caret/claude_full/assistant/sessionHistory.spl	87	llm_caret.claude_full.assistant	port-full-behavior	test/03_system/tools/llm/claude_full/assistant/sessionHistory_spec.spl	target LOC >= 87; behavior parity assertions; symbol rows implemented
bootstrap/state.ts	1758	ts	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	1758	llm_caret.claude_full.bootstrap	port-full-behavior	test/03_system/tools/llm/claude_full/bootstrap/state_spec.spl	target LOC >= 1758; behavior parity assertions; symbol rows implemented
bridge/bridgeApi.ts	539	ts	bridge	src/app/llm_caret/claude_full/bridge/bridgeApi.spl	539	llm_caret.claude_full.bridge	port-full-behavior	test/03_system/tools/llm/claude_full/bridge/bridgeApi_spec.spl	target LOC >= 539; behavior parity assertions; symbol rows implemented
bridge/bridgeConfig.ts	48	ts	bridge	src/app/llm_caret/claude_full/bridge/bridgeConfig.spl	48	llm_caret.claude_full.bridge	port-full-behavior	test/03_system/tools/llm/claude_full/bridge/bridgeConfig_spec.spl	target LOC >= 48; behavior parity assertions; symbol rows implemented
bridge/bridgeDebug.ts	135	ts	bridge	src/app/llm_caret/claude_full/bridge/bridgeDebug.spl	135	llm_caret.claude_full.bridge	port-full-behavior	test/03_system/tools/llm/claude_full/bridge/bridgeDebug_spec.spl	target LOC >= 135; behavior parity assertions; symbol rows implemented
bridge/bridgeEnabled.ts	202	ts	bridge	src/app/llm_caret/claude_full/bridge/bridgeEnabled.spl	202	llm_caret.claude_full.bridge	port-full-behavior	test/03_system/tools/llm/claude_full/bridge/bridgeEnabled_spec.spl	target LOC >= 202; behavior parity assertions; symbol rows implemented
bridge/bridgeMain.ts	2999	ts	bridge	src/app/llm_caret/claude_full/bridge/bridgeMain.spl	2999	llm_caret.claude_full.bridge	port-full-behavior	test/03_system/tools/llm/claude_full/bridge/bridgeMain_spec.spl	target LOC >= 2999; behavior parity assertions; symbol rows implemented
bridge/bridgeMessaging.ts	461	ts	bridge	src/app/llm_caret/claude_full/bridge/bridgeMessaging.spl	461	llm_caret.claude_full.bridge	port-full-behavior	test/03_system/tools/llm/claude_full/bridge/bridgeMessaging_spec.spl	target LOC >= 461; behavior parity assertions; symbol rows implemented
bridge/bridgePermissionCallbacks.ts	43	ts	bridge	src/app/llm_caret/claude_full/bridge/bridgePermissionCallbacks.spl	43	llm_caret.claude_full.bridge	port-full-behavior	test/03_system/tools/llm/claude_full/bridge/bridgePermissionCallbacks_spec.spl	target LOC >= 43; behavior parity assertions; symbol rows implemented
bridge/bridgePointer.ts	210	ts	bridge	src/app/llm_caret/claude_full/bridge/bridgePointer.spl	210	llm_caret.claude_full.bridge	port-full-behavior	test/03_system/tools/llm/claude_full/bridge/bridgePointer_spec.spl	target LOC >= 210; behavior parity assertions; symbol rows implemented
