category	file	line	symbol_or_function
spipe_empty_examples	src/compiler/70.backend/linker/test/.spipe_wrapped_entry_lib_smf_format_spec.spl	3	
spipe_boolean_wrapper_assertions	src/compiler/70.backend/linker/test/.spipe_wrapped_entry_lib_smf_format_spec.spl	4	
spipe_empty_examples	src/compiler/70.backend/linker/test/.spipe_wrapped_entry_lib_smf_writer_spec.spl	3	
spipe_boolean_wrapper_assertions	src/compiler/70.backend/linker/test/.spipe_wrapped_entry_lib_smf_writer_spec.spl	4	
spipe_empty_examples	src/compiler/70.backend/linker/test/.spipe_wrapped_entry_object_resolver_spec.spl	3	
spipe_boolean_wrapper_assertions	src/compiler/70.backend/linker/test/.spipe_wrapped_entry_object_resolver_spec.spl	4	
spipe_empty_examples	src/compiler/70.backend/linker/test/.spipe_wrapped_entry_smf_reader_memory_spec.spl	3	
spipe_boolean_wrapper_assertions	src/compiler/70.backend/linker/test/.spipe_wrapped_entry_smf_reader_memory_spec.spl	4	
primitive_api	src/compiler/70.backend/codegen.spl	693	
primitive_api	src/compiler/70.backend/codegen.spl	702	
primitive_api	src/app/test_analysis/main.spl	309	
star_import	src/app/test_runner_new/test_db_core.spl	1	
star_import	src/app/svim/__init__.spl	1	svim public facade
star_import	src/app/svim/core.spl	1	facade-style shared editor core
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/core/random.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/core/regex.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/exp/config.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/exp/query.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/exp/run.spl	2	
wrong_shell_import	src/lib/nogc_sync_mut/src/exp/sweep.spl	13	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/exp/artifact.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/exp/storage.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/tensor/factory.spl	2	
star_import	src/lib/nogc_sync_mut/src/testing/mocking.spl	1	facade aggregator: imports submodule symbols for re-export
star_import	src/lib/nogc_sync_mut/src/testing/gpu_helpers.spl	1	facade aggregator: imports submodule symbols for re-export
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/tooling/easy_fix/rules.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/src/tooling/regex_utils.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/benchmark/compare.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/buffer/utilities.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/cache/utilities.spl	2	
unnamed_duplicate_typed_args	src/lib/nogc_sync_mut/cli/formatting.spl	2	
