claude_file	source_line	symbol_kind	symbol_name	feature_id	target_simple_file	planned_simple_symbol	implementation_action	test_gate
assistant/sessionHistory.ts	9	type	HistoryPage	assistant	src/app/llm_caret/claude_full/assistant/sessionHistory.spl	type_HistoryPage	port-symbol-behavior	unit + system parity assertion
assistant/sessionHistory.ts	18	type	SessionEventsResponse	assistant	src/app/llm_caret/claude_full/assistant/sessionHistory.spl	type_SessionEventsResponse	port-symbol-behavior	unit + system parity assertion
assistant/sessionHistory.ts	25	type	HistoryAuthCtx	assistant	src/app/llm_caret/claude_full/assistant/sessionHistory.spl	type_HistoryAuthCtx	port-symbol-behavior	unit + system parity assertion
assistant/sessionHistory.ts	31	function	createHistoryAuthCtx	assistant	src/app/llm_caret/claude_full/assistant/sessionHistory.spl	function_createHistoryAuthCtx	port-symbol-behavior	unit + system parity assertion
assistant/sessionHistory.ts	45	function	fetchPage	assistant	src/app/llm_caret/claude_full/assistant/sessionHistory.spl	function_fetchPage	port-symbol-behavior	unit + system parity assertion
assistant/sessionHistory.ts	73	function	fetchLatestEvents	assistant	src/app/llm_caret/claude_full/assistant/sessionHistory.spl	function_fetchLatestEvents	port-symbol-behavior	unit + system parity assertion
assistant/sessionHistory.ts	81	function	fetchOlderEvents	assistant	src/app/llm_caret/claude_full/assistant/sessionHistory.spl	function_fetchOlderEvents	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	27	type	RegisteredHookMatcher	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	type_RegisteredHookMatcher	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	37	type	ChannelEntry	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	type_ChannelEntry	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	41	type	AttributedCounter	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	type_AttributedCounter	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	45	type	State	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	type_State	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	260	function	getInitialState	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	function_getInitialState	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	431	function	getSessionId	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	function_getSessionId	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	435	function	regenerateSessionId	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	function_regenerateSessionId	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	452	function	getParentSessionId	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	function_getParentSessionId	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	468	function	switchSession	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	function_switchSession	port-symbol-behavior	unit + system parity assertion
bootstrap/state.ts	496	function	getSessionProjectDir	bootstrap	src/app/llm_caret/claude_full/bootstrap/state.spl	function_getSessionProjectDir	port-symbol-behavior	unit + system parity assertion
