_align_up	private helper	src-only	src=4 test=0	src/lib/gc_async_mut/gpu/engine2d/backend_intel_kernels.spl;src/lib/gc_async_mut/slang/model_executor/model_loader/tensor_pack.spl;src/os/kernel/memory/pmm.spl;src/os/kernel/memory/vmm_vma.spl
_alloc_table_page	private helper	src-only	src=6 test=0	src/os/kernel/arch/riscv32/paging.spl;src/os/kernel/arch/riscv64/paging.spl;src/os/kernel/arch/x86_32/paging.spl;src/os/kernel/arch/x86_64/paging.spl;src/os/kernel/memory/vmm.spl;src/os/kernel/memory/vmm_core.spl
_argv_valid	private helper	src-only	src=2 test=0	src/os/port/guest_toolchain_artifact_build_receipt.spl;src/os/port/guest_toolchain_execution_gate.spl
_assistant_append_jsonl	private helper	src-only	src=2 test=0	src/app/mcp/assistant/_SessionStore/store_core.spl;src/app/mcp/main_lazy_assistant.spl
_byte_at	private helper	mixed	src=5 test=4	examples/09_embedded/simple_os/arch/riscv64/x25519_probe_entry.spl;src/lib/common/image/image_info.spl;src/lib/common/llm/output_gate.spl;src/lib/skia/feature/sksl/tokenizer.spl;src/os/kernel/loader/elf_loader.spl;src/os/kernel/loader/process_image.spl;test/01_unit/lib/common/encoding/bson_spec.spl;test/01_unit/lib/skia/icc_writer_spec.spl
_cell_matches_criteria	private helper	src-only	src=2 test=0	src/app/office/sheets/cond_format.spl;src/app/office/sheets/data_ops.spl
_command	private helper	mixed	src=1 test=11	src/lib/common/encoding/sfnt_glyf.spl;test/01_unit/lib/gc_async_mut/gpu/browser_engine/dom_color_alpha_normalization_spec.spl;test/03_system/app/simple_web/feature/canonical_draw_ir_upload_spec.spl;test/03_system/feature/web_platform/html/article_element_rendering_spec.spl;test/03_system/feature/web_platform/html/blockquote_element_rendering_spec.spl;test/03_system/feature/web_platform/html/definition_list_rendering_spec.spl;test/03_system/feature/web_platform/html/details_summary_rendering_spec.spl;test/03_system/feature/web_platform/html/fieldset_legend_rendering_spec.spl
_contains	private helper	mixed	src=14 test=13	examples/09_embedded/simple_os/arch/aarch64/caret_component_entry.spl;examples/09_embedded/simple_os/arch/aarch64/mcp_component_entry.spl;examples/09_embedded/simple_os/arch/riscv64/caret_component_entry.spl;examples/09_embedded/simple_os/arch/riscv64/toolchain_components_entry.spl;examples/09_embedded/simple_os/arch/x86_64/caret_component_entry.spl;examples/09_embedded/simple_os/arch/x86_64/mcp_component_entry.spl;src/app/compiler_schema/visitor_gen.spl;src/app/llm_caret/claude_full/utils/managedEnvConstants.spl
_copy_user_bytes	private helper	src-only	src=2 test=0	src/os/kernel/ipc/syscall_process.spl;src/os/kernel/socket_compat.spl
_cos	private helper	src-only	src=6 test=0	src/lib/blink/paint/effects.spl;src/lib/common/engine/math2d.spl;src/lib/common/engine/math3d.spl;src/lib/gc_async_mut/game2d/transform.spl;src/lib/nogc_sync_mut/engine/component/mesh.spl;src/lib/nogc_sync_mut/gpu/engine3d/types3d.spl
_css_var	private helper	src-only	src=2 test=0	src/app/ui.web/wm_quality_contract.spl;src/lib/nogc_sync_mut/ui/theme_package.spl
_digit_value	private helper	mixed	src=11 test=2	src/app/office/sheets/cell.spl;src/app/office/sheets/render.spl;src/app/startup/segment_load_plan.spl;src/compiler/70.backend/backend/llvm_version.spl;src/compiler/85.mdsoc/cross_query.spl;src/lib/common/html/character_references.spl;src/lib/common/js/engine/vm_object_store.spl;src/lib/gc_async_mut/http/accept_encoding.spl
_domain_bytes	private helper	src-only	src=3 test=0	src/app/spipe_knowledge_provider/generation_quarantine.spl;src/app/spipe_knowledge_provider/wire_core.spl;src/app/spipe_knowledge_provider/wire_query.spl
