symbol	backing	signature_sha256	file	line	unsafe_tag	contract	evidence	state
abort	libc_libm	2e38e77b22c314a449e91fafed92a43826ac6aa403ae6a8acb6cf58239fbaf5d	src/runtime/simple_core/core_process.spl	6	missing	missing	missing	unsafe_tag_and_contract_missing
abort	libc_libm	2e38e77b22c314a449e91fafed92a43826ac6aa403ae6a8acb6cf58239fbaf5d	src/runtime/simple_core/core_values.spl	12	missing	missing	missing	unsafe_tag_and_contract_missing
add_external	DEAD_DECLARATION	718953e6255f8ae15fc96c5734fbe239ac666059480a9ee043859160b9a1122b	test/03_system/feature/usage/parser_functions_spec.spl	228	missing	missing	missing	unsafe_tag_and_contract_missing
add_external	DEAD_DECLARATION	718953e6255f8ae15fc96c5734fbe239ac666059480a9ee043859160b9a1122b	test/feature/usage/parser_functions_spec.spl	228	missing	missing	missing	unsafe_tag_and_contract_missing
align_of	DEAD_DECLARATION	c212d819d2b3349e55e9552e596a31559ee2aa8cd83113d1c09b7f91cd810a25	src/compiler_rust/lib/std/src/core_nogc/arena.spl	355	missing	missing	missing	unsafe_tag_and_contract_missing
align_of	DEAD_DECLARATION	c212d819d2b3349e55e9552e596a31559ee2aa8cd83113d1c09b7f91cd810a25	src/compiler_rust/lib/std/src/core_nogc/bump.spl	391	missing	missing	missing	unsafe_tag_and_contract_missing
arm_fs_exec_trace	GENUINELY_MISSING	37ab64a28242fa4b5de5eeb20ad551ceebda5ac0c43e954774b5fe10784ccd09	src/os/services/vfs/arm_fs_exec_vfs.spl	22	missing	missing	missing	unsafe_tag_and_contract_missing
array_cap	SHADOWED_BY_SPL_FN	4d2ec1294ab9e94126d26fb1899d5822e9c7c1a1d6e342fb52d12f1cce257d0a	src/runtime/simple_core/core_array_ops.spl	18	missing	missing	missing	unsafe_tag_and_contract_missing
array_flags	SHADOWED_BY_SPL_FN	4d2ec1294ab9e94126d26fb1899d5822e9c7c1a1d6e342fb52d12f1cce257d0a	src/runtime/simple_core/core_array_ops.spl	19	missing	missing	missing	unsafe_tag_and_contract_missing
array_flags	SHADOWED_BY_SPL_FN	4d2ec1294ab9e94126d26fb1899d5822e9c7c1a1d6e342fb52d12f1cce257d0a	src/runtime/simple_core/core_string.spl	28	missing	missing	missing	unsafe_tag_and_contract_missing
array_is_valid	SHADOWED_BY_SPL_FN	4d2ec1294ab9e94126d26fb1899d5822e9c7c1a1d6e342fb52d12f1cce257d0a	src/runtime/simple_core/core_array_ops.spl	20	missing	missing	missing	unsafe_tag_and_contract_missing
array_is_valid	SHADOWED_BY_SPL_FN	4d2ec1294ab9e94126d26fb1899d5822e9c7c1a1d6e342fb52d12f1cce257d0a	src/runtime/simple_core/core_array_query.spl	10	missing	missing	missing	unsafe_tag_and_contract_missing
array_is_valid	SHADOWED_BY_SPL_FN	4d2ec1294ab9e94126d26fb1899d5822e9c7c1a1d6e342fb52d12f1cce257d0a	src/runtime/simple_core/core_string.spl	26	missing	missing	missing	unsafe_tag_and_contract_missing
array_items	SHADOWED_BY_SPL_FN	4d2ec1294ab9e94126d26fb1899d5822e9c7c1a1d6e342fb52d12f1cce257d0a	src/runtime/simple_core/core_array_ops.spl	16	missing	missing	missing	unsafe_tag_and_contract_missing
