symbol	backing	declarations	distinct_source_signatures	unsafe_tag_missing	contract_missing	evidence_missing	state
abort	libc_libm	2	1	2	2	2	migration_required
add_external	DEAD_DECLARATION	2	1	2	2	2	migration_required
align_of	DEAD_DECLARATION	2	1	2	2	2	migration_required
arm_fs_exec_trace	GENUINELY_MISSING	1	1	1	1	1	migration_required
array_cap	SHADOWED_BY_SPL_FN	1	1	1	1	1	migration_required
array_flags	SHADOWED_BY_SPL_FN	2	1	2	2	2	migration_required
array_is_valid	SHADOWED_BY_SPL_FN	3	1	3	3	3	migration_required
array_items	SHADOWED_BY_SPL_FN	3	1	3	3	3	migration_required
array_len_value	SHADOWED_BY_SPL_FN	2	1	2	2	2	migration_required
array_ptr	SHADOWED_BY_SPL_FN	1	1	1	1	1	migration_required
async_join	DEAD_DECLARATION	1	1	1	1	1	migration_required
async_read_file	DEAD_DECLARATION	1	1	1	1	1	migration_required
async_select	DEAD_DECLARATION	1	1	1	1	1	migration_required
async_sleep	DEAD_DECLARATION	1	1	1	1	1	migration_required
async_write_file	DEAD_DECLARATION	1	1	1	1	1	migration_required
async_yield	in_deployed_binary	3	3	3	3	3	source_signature_variants
barrier_and_fence	DEAD_DECLARATION	1	1	1	1	1	migration_required
barrier	GENUINELY_MISSING	1	1	1	1	1	migration_required
bits_to_float	GENUINELY_MISSING	3	1	3	3	3	migration_required
bytes_to_string	interp_extern_registry	6	1	6	6	6	migration_required
bytes_to_u16_le	interp_extern_registry	2	1	2	2	2	migration_required
bytes_to_u32_le	interp_extern_registry	2	1	2	2	2	migration_required
call_ffi_0	GENUINELY_MISSING	1	1	1	1	1	migration_required
call_ffi_1	GENUINELY_MISSING	1	1	1	1	1	migration_required
call_ffi_2	GENUINELY_MISSING	1	1	1	1	1	migration_required
call_ffi_3	GENUINELY_MISSING	1	1	1	1	1	migration_required
call_ffi_4	GENUINELY_MISSING	1	1	1	1	1	migration_required
calloc	libc_libm	9	1	9	9	9	migration_required
char_code	SHADOWED_BY_SPL_FN	1	1	1	1	1	migration_required
clear_ffi_recording	external_library_symbol	2	1	2	2	2	migration_required
clock_gettime	libc_libm	1	1	1	1	1	migration_required
clock_ms	external_library_symbol	2	1	2	2	2	migration_required
closedir	libc_libm	1	1	1	1	1	migration_required
close	libc_libm	3	1	3	3	3	migration_required
compiler__driver__driver__compiler_driver_create	interp_extern_registry	1	1	1	1	1	migration_required
compiler__driver__driver__CompilerDriver_dot_compile	interp_extern_registry	1	1	1	1	1	migration_required
connect	libc_libm	1	1	1	1	1	migration_required
coverage_check	in_deployed_binary	1	1	1	1	1	migration_required
coverage_class	in_deployed_binary	1	1	1	1	1	migration_required
coverage_func	in_deployed_binary	1	1	1	1	1	migration_required
coverage_generate	in_deployed_binary	1	1	1	1	1	migration_required
coverage_report	in_deployed_binary	1	1	1	1	1	migration_required
coverage_scan	in_deployed_binary	1	1	1	1	1	migration_required
coverage_summary	in_deployed_binary	1	1	1	1	1	migration_required
create_streams	DEAD_DECLARATION	1	1	1	0	1	migration_required
create_window	SHADOWED_BY_SPL_FN	1	1	1	0	1	migration_required
current_time_micros	external_library_symbol	3	1	3	3	3	migration_required
current_timestamp	external_library_symbol	2	1	2	2	2	migration_required
_current_time_unix	interp_extern_registry	1	1	1	1	1	migration_required
data_memory_barrier	bare_exempt	1	1	1	1	1	migration_required
dbg	interp_extern_registry	1	1	1	1	1	migration_required
default_device	DEAD_DECLARATION	1	1	1	0	1	migration_required
default_stream	DEAD_DECLARATION	1	1	1	1	1	migration_required
device_count	DEAD_DECLARATION	1	1	1	1	1	migration_required
devices	DEAD_DECLARATION	1	1	1	1	1	migration_required
disable_ffi_recording	DEAD_DECLARATION	2	1	2	2	2	migration_required
disable_interrupts	bare_exempt	1	1	1	1	1	migration_required
dlclose	libc_libm	2	1	2	2	2	migration_required
dlopen	libc_libm	2	1	2	0	2	migration_required
dlsym	libc_libm	2	1	2	0	2	migration_required
enable_ffi_recording	DEAD_DECLARATION	2	1	2	2	2	migration_required
enable_interrupts	bare_exempt	1	1	1	1	1	migration_required
env_get	SHADOWED_BY_SPL_FN	1	1	1	1	1	migration_required
eprint_raw	interp_extern_registry	1	1	1	1	1	migration_required
execvp	libc_libm	1	1	1	1	1	migration_required
exit	libc_libm	2	1	2	2	2	migration_required
f32_from_bits	interp_extern_registry	3	1	3	3	3	migration_required
fclose	libc_libm	1	1	1	1	1	migration_required
ferror	libc_libm	1	1	1	1	1	migration_required
ffi_func	DEAD_DECLARATION	2	1	2	2	2	migration_required
fflush	libc_libm	1	1	1	1	1	migration_required
file_metadata	GENUINELY_MISSING	2	1	2	0	2	migration_required
file_write_bytes	SHADOWED_BY_SPL_FN	3	1	3	0	3	migration_required
float_to_bits	GENUINELY_MISSING	3	1	3	3	3	migration_required
fopen	libc_libm	1	1	1	1	1	migration_required
fork	libc_libm	1	1	1	1	1	migration_required
fread	libc_libm	1	1	1	1	1	migration_required
free	libc_libm	13	2	13	13	13	source_signature_variants
FreeLibrary	GENUINELY_MISSING	1	1	1	1	1	migration_required
fs_copy_cstr	SHADOWED_BY_SPL_FN	1	1	1	1	1	migration_required
fseek	libc_libm	1	1	1	1	1	migration_required
fsync	libc_libm	1	1	1	1	1	migration_required
ftell	libc_libm	1	1	1	1	1	migration_required
future_alloc_pending	DEAD_DECLARATION	1	1	1	1	1	migration_required
future_alloc_ready	DEAD_DECLARATION	1	1	1	1	1	migration_required
future_free	DEAD_DECLARATION	1	1	1	1	1	migration_required
future_map	DEAD_DECLARATION	1	1	1	1	1	migration_required
future_poll_any	DEAD_DECLARATION	1	1	1	1	1	migration_required
future_poll	DEAD_DECLARATION	1	1	1	1	1	migration_required
future_then	DEAD_DECLARATION	1	1	1	1	1	migration_required
fwrite	libc_libm	1	1	1	1	1	migration_required
generate_sequence_ffi	DEAD_DECLARATION	2	1	2	2	2	migration_required
_get_bss_start	DEAD_DECLARATION	3	1	3	3	3	migration_required
getcwd	libc_libm	1	1	1	1	1	migration_required
getenv	libc_libm	1	1	1	1	1	migration_required
_get_kernel_end	GENUINELY_MISSING	4	2	4	4	4	source_signature_variants
_get_kernel_start	GENUINELY_MISSING	1	1	1	1	1	migration_required
get_kernel_syscall_entry_addr	GENUINELY_MISSING	1	1	1	1	1	migration_required
getpid	libc_libm	1	1	1	1	1	migration_required
getppid	libc_libm	1	1	1	1	1	migration_required
GetProcAddress	GENUINELY_MISSING	1	1	1	0	1	migration_required
gettimeofday	libc_libm	1	1	1	1	1	migration_required
get_time	SHADOWED_BY_SPL_FN	2	1	2	2	2	migration_required
global_id_dim	external_library_symbol	1	1	1	1	1	migration_required
global_id	external_library_symbol	1	1	1	1	1	migration_required
global_size_dim	external_library_symbol	1	1	1	1	1	migration_required
global_size	external_library_symbol	1	1	1	1	1	migration_required
glob_find	external_library_symbol	2	1	2	2	2	migration_required
glob_matches	external_library_symbol	2	1	2	2	2	migration_required
gpu_broadcast	GENUINELY_MISSING	1	1	1	1	1	migration_required
gpu_relu_mask	GENUINELY_MISSING	1	1	1	1	1	migration_required
gpu_transpose	GENUINELY_MISSING	1	1	1	1	1	migration_required
group_id	DEAD_DECLARATION	1	1	1	1	1	migration_required
group_id_dim	DEAD_DECLARATION	1	1	1	1	1	migration_required
halt	bare_exempt	1	1	1	1	1	migration_required
header_size	GENUINELY_MISSING	3	1	3	3	3	migration_required
_http_get_response_body	GENUINELY_MISSING	1	1	1	1	1	migration_required
_http_post	GENUINELY_MISSING	1	1	1	1	1	migration_required
http_request	SHADOWED_BY_SPL_FN	4	1	4	0	4	migration_required
i64_to_ptr	GENUINELY_MISSING	3	1	3	3	3	migration_required
input	interp_extern_registry	3	1	3	3	3	migration_required
instruction_memory_barrier	bare_exempt	1	1	1	1	1	migration_required
interrupts_enabled	bare_exempt	1	1	1	1	1	migration_required
is_little_endian	GENUINELY_MISSING	2	1	2	2	2	migration_required
is_nan_bits	GENUINELY_MISSING	3	1	3	3	3	migration_required
json_parse	SHADOWED_BY_SPL_FN	3	2	3	0	3	source_signature_variants
json_stringify_pretty	DEAD_DECLARATION	2	1	2	2	2	migration_required
json_stringify	SHADOWED_BY_SPL_FN	2	1	2	2	2	migration_required
kill	libc_libm	1	1	1	1	1	migration_required
lane_definitely_absent_probe	GENUINELY_MISSING	1	1	1	1	1	migration_required
lane_id	GENUINELY_MISSING	1	1	1	1	1	migration_required
LoadLibraryA	GENUINELY_MISSING	1	1	1	0	1	migration_required
local_id	DEAD_DECLARATION	1	1	1	1	1	migration_required
local_id_dim	DEAD_DECLARATION	1	1	1	1	1	migration_required
local_size	DEAD_DECLARATION	1	1	1	1	1	migration_required
local_size_dim	DEAD_DECLARATION	1	1	1	1	1	migration_required
log_raw_println	SHADOWED_BY_SPL_FN	5	1	5	5	5	migration_required
lseek	libc_libm	2	1	2	2	2	migration_required
lsp_diagnostics	GENUINELY_MISSING	1	1	1	1	1	migration_required
lsp_document_symbols	GENUINELY_MISSING	1	1	1	1	1	migration_required
lsp_find_references	GENUINELY_MISSING	1	1	1	1	1	migration_required
lsp_go_to_definition	GENUINELY_MISSING	1	1	1	1	1	migration_required
lsp_hover	GENUINELY_MISSING	1	1	1	1	1	migration_required
lua_createtable	GENUINELY_MISSING	1	1	1	1	1	migration_required
lua_gettop	DEAD_DECLARATION	1	1	1	1	1	migration_required
lua_pushcfunction	GENUINELY_MISSING	1	1	1	1	1	migration_required
lua_pushinteger	DEAD_DECLARATION	1	1	1	1	1	migration_required
lua_pushnumber	DEAD_DECLARATION	1	1	1	1	1	migration_required
lua_setfield	GENUINELY_MISSING	1	1	1	1	1	migration_required
