name	class	decls	subsystems	variant_sets	declarations
OptimizationLevel	DIVERGENT	8	4	5	./app/interpreter/perf/perf_config.spl:16 ./compiler/60.mir_opt/_OptimizationPasses/engine.spl:25 ./compiler/70.backend/backend/backend_types.spl:228 ./compiler/70.backend/backend/optimization_passes.spl:12 ./compiler_rust/lib/std/src/tooling/compiler/build_system.spl:114 ./lib/gc_async_mut/perf.spl:9 ./lib/nogc_async_mut/perf.spl:9 ./lib/nogc_sync_mut/perf.spl:9
SymbolKind	DIVERGENT	8	4	6	./app/interpreter/collections/persistent_symbol_table.spl:30 ./compiler/20.hir/hir_types.spl:98 ./compiler/90.tools/sffi_gen/specs/compiler_query.spl:31 ./compiler_rust/lib/std/src/mcp/multi_lang/__init__.spl:247 ./compiler_rust/lib/std/src/mcp/simple_lang/types.spl:224 ./compiler_rust/lib/std/src/vscode/wasm_lsp.spl:339 ./lib/nogc_async_mut/dependency_tracker/symbol.spl:10 ./lib/nogc_sync_mut/dependency_tracker/symbol.spl:10
VariableScope	DIVERGENT	7	4	2	./app/dap/hooks.spl:62 ./compiler/90.tools/sffi_gen/specs/interpreter_hooks.spl:39 ./lib/nogc_async_mut/dap/hooks.spl:62 ./lib/nogc_async_mut/mcp/dap/mod.spl:77 ./lib/nogc_sync_mut/dap/hooks.spl:62 ./lib/nogc_sync_mut/mcp/dap/mod.spl:77 ./runtime/hooks.spl:62
TaskState	DIVERGENT	6	4	6	./app/llm_dashboard/data/types.spl:8 ./compiler_rust/lib/std/src/bare/async/executor.spl:8 ./lib/nogc_async_mut/async/runtime.spl:32 ./lib/nogc_async_mut/async/task.spl:8 ./lib/nogc_async_mut/mcp/tasks.spl:10 ./os/kernel/types/task_types.spl:24
UnaryOp	DIVERGENT	6	4	4	./app/interpreter/ast_types.spl:120 ./compiler/10.frontend/parser_types_expr.spl:557 ./compiler_rust/lib/std/src/hir/eval.spl:501 ./compiler_rust/lib/std/src/hir/types.spl:222 ./lib/common/parser/ast.spl:51 ./lib/gc_async_mut/pure/ast.spl:53
StepMode	DIVERGENT	13	3	3	./app/dap/dap_types.spl:120 ./app/dap/hooks.spl:401 ./app/interpreter/debug.spl:23 ./app/interpreter/helpers/debug.spl:77 ./app/interpreter/helpers/debug_simple.spl:17 ./lib/nogc_async_mut/dap/dap_types.spl:120 ./lib/nogc_async_mut/dap/hooks.spl:401 ./lib/nogc_async_mut/debugger.spl:19 ./lib/nogc_sync_mut/dap/dap_types.spl:120 ./lib/nogc_sync_mut/dap/hooks.spl:415 ./lib/nogc_sync_mut/debug.spl:20 ./lib/nogc_sync_mut/debugger.spl:19 ./runtime/hooks.spl:401
HttpMethod	DIVERGENT	9	3	3	./app/io/http_ffi.spl:94 ./app/io/http_sffi.spl:94 ./compiler_rust/lib/std/src/host/common/net/http_method.spl:7 ./lib/gc_async_mut/gpu/browser_engine/net/entity/request_types.spl:24 ./lib/gc_async_mut/net/http.spl:29 ./lib/nogc_async_mut/net/http.spl:29 ./lib/nogc_sync_mut/http_server/types.spl:11 ./lib/nogc_sync_mut/io/http_sffi.spl:94 ./lib/nogc_sync_mut/net/http.spl:29
TokenKind	DIVERGENT	9	3	8	./compiler/10.frontend/lexer_types.spl:10 ./compiler/70.backend/arch_rules.spl:202 ./compiler_rust/lib/std/src/parser/treesitter/__init__.spl:14 ./compiler_rust/lib/std/src/sdn/token.spl:7 ./lib/common/parser/lexer.spl:8 ./lib/common/sdn/lexer.spl:5 ./lib/gc_async_mut/pure/lexer.spl:8 ./lib/nogc_sync_mut/js/engine/lexer.spl:4 ./lib/skia/feature/sksl/tokenizer.spl:20
LogLevel	DIVERGENT	8	3	4	./compiler_rust/lib/std/src/mcp/core/logger.spl:11 ./compiler_rust/lib/std/src/mcp/core/logs.spl:14 ./lib/common/js/engine/js_error.spl:32 ./lib/common/web/logging.spl:12 ./lib/nogc_async_mut/failsafe/core.spl:241 ./lib/nogc_sync_mut/failsafe/core.spl:241 ./lib/nogc_sync_mut/js/engine/js_error.spl:6 ./os/userlib/log.spl:9
ValueKind	DIVERGENT	8	3	4	./app/interpreter/core/value.spl:8 ./compiler_rust/lib/std/src/hir/eval.spl:52 ./lib/gc_async_mut/message_transfer.spl:48 ./lib/gc_async_mut/runtime/value.spl:7 ./lib/nogc_async_mut/message_transfer.spl:48 ./lib/nogc_async_mut/runtime/value.spl:7 ./lib/nogc_sync_mut/message_transfer.spl:48 ./lib/nogc_sync_mut/runtime/value.spl:7
