# rt_* dual-implementation census
# generated by scripts/check/rt-dual-implementation-census.shs
# root=/mnt/data/wt-rtdual
# c_lane_mode=nm c_files=130 c_compiled=124 c_uncompilable_external=6
# rust_lane_mode=nm-rcgu:256-codegen-units:/mnt/data/cargo-targets-rtdual/debug/libsimple_runtime.rlib
# simple_twin_source=doc/08_tracking/c_migration/c_migration_inventory.sdn
# counts: total=2594 c=1541 rust=1662 simple_twin=68 dual_pair=24
# class: both = defined in C and Rust; c-only / rust-only = single-lane
# rust-only is the directive's most severe violation: no C lane means
# the C and Rust runtimes can diverge with nothing detecting it.
symbol	c_lane	rust_lane	simple_twin	dual_pair	class
rt_actor_death_reason	no	yes	no	no	rust-only
rt_actor_id	no	yes	no	no	rust-only
rt_actor_is_alive	no	yes	no	no	rust-only
rt_actor_join	yes	yes	no	no	both
rt_actor_recv	yes	yes	no	no	both
rt_actor_reply	no	yes	no	no	rust-only
rt_actor_send	no	yes	no	no	rust-only
rt_actor_spawn	yes	yes	no	no	both
rt_actor_stop	no	yes	no	no	rust-only
rt_actor_try_send	no	yes	no	no	rust-only
rt_aes128_decrypt_block_pure	no	yes	no	no	rust-only
rt_aes128_encrypt_block_into	no	yes	no	no	rust-only
rt_aes128_encrypt_block_pure	no	yes	no	no	rust-only
rt_aes256_encrypt_block_into	no	yes	no	no	rust-only
rt_aes256_encrypt_block_pure	no	yes	no	no	rust-only
rt_aes_decrypt_block_with_expanded	no	yes	no	no	rust-only
rt_aes_encrypt_block_with_expanded	no	yes	no	no	rust-only
rt_aes_gcm_decrypt	yes	no	no	no	c-only
rt_aes_gcm_decrypt_hex	yes	no	no	no	c-only
rt_aes_gcm_decrypt_with_len	yes	no	no	no	c-only
rt_aes_gcm_encrypt	yes	no	no	no	c-only
rt_aes_gcm_encrypt_hex	yes	no	no	no	c-only
rt_aes_gcm_encrypt_with_len	yes	no	no	no	c-only
rt_aes_rcon	no	yes	no	no	rust-only
rt_aes_sbox	no	yes	no	no	rust-only
rt_alloc	yes	no	no	no	c-only
rt_any_add	yes	yes	no	no	both
rt_any_div	yes	yes	no	no	both
rt_any_ge	yes	yes	no	no	both
rt_any_gt	yes	yes	no	no	both
rt_any_le	yes	yes	no	no	both
rt_any_lt	yes	yes	no	no	both
rt_any_mod	yes	yes	no	no	both
rt_any_mul	yes	yes	no	no	both
rt_any_sub	yes	yes	no	no	both
rt_aop_clear_last_error	no	yes	no	no	rust-only
rt_aop_invoke_around	no	yes	no	no	rust-only
rt_aop_last_error	no	yes	no	no	rust-only
rt_aop_proceed	no	yes	no	no	rust-only
rt_arena_alloc	no	yes	no	no	rust-only
rt_arena_capacity	no	yes	no	no	rust-only
rt_arena_free	no	yes	no	no	rust-only
rt_arena_new	no	yes	no	no	rust-only
rt_arena_reset	no	yes	no	no	rust-only
rt_arena_used	no	yes	no	no	rust-only
rt_array_all	yes	yes	no	no	both
rt_array_all_truthy	yes	yes	no	no	both
rt_array_any	yes	yes	no	no	both
rt_array_any_truthy	yes	yes	no	no	both
rt_array_at	yes	yes	no	no	both
rt_array_bytes_basis_len	yes	no	no	no	c-only
rt_array_bytes_basis_ptr	yes	no	no	no	c-only
rt_array_bytes_copy_checked	yes	no	no	no	c-only
rt_array_bytes_store_checked	yes	no	no	no	c-only
rt_array_bytes_validate	yes	no	no	no	c-only
rt_array_clear	yes	yes	no	no	both
rt_array_concat	yes	yes	no	no	both
rt_array_copy	yes	yes	no	no	both
rt_array_count	no	yes	no	no	rust-only
rt_array_data_ptr	yes	yes	no	no	both
rt_array_data_ptr_text	yes	yes	no	no	both
rt_array_drop	no	yes	no	no	rust-only
rt_array_each	yes	yes	no	no	both
rt_array_enumerate	yes	yes	no	no	both
rt_array_extend_i64	yes	yes	no	no	both
rt_array_fill	no	yes	no	no	rust-only
rt_array_filter	yes	yes	no	no	both
rt_array_find	yes	yes	no	no	both
rt_array_first	yes	yes	no	no	both
rt_array_flatten	no	yes	no	no	rust-only
rt_array_free	yes	yes	no	no	both
rt_array_free_deep	yes	yes	no	no	both
rt_array_get	yes	yes	no	no	both
rt_array_get_i64_raw	yes	yes	no	no	both
rt_array_get_text	yes	yes	no	no	both
rt_array_header_ptr	yes	yes	no	no	both
rt_array_index_of	yes	yes	no	no	both
rt_array_join	no	yes	no	no	rust-only
rt_array_join_any	yes	no	no	no	c-only
rt_array_last	yes	yes	no	no	both
rt_array_last_index_of	no	yes	no	no	rust-only
rt_array_len	yes	yes	no	no	both
rt_array_len_safe	yes	yes	no	no	both
rt_array_map	yes	yes	no	no	both
