seconds	rss_kib
0.000	32
1.023	47344
2.044	65312
3.064	481648
4.090	764016
5.125	874848
6.145	901344
7.166	901472
8.184	901472
9.204	901536
10.225	901568
11.245	901568
12.266	901584
13.282	901600
14.301	901600
15.321	901600
16.344	901632
17.362	901632
18.383	901632
19.400	1012528
20.429	1044960
21.465	1124240
22.493	1229536
23.539	1333296
24.580	1401760
25.617	1410112
26.645	1412880
27.670	1433696
28.700	1479184
29.725	1493216
30.750	1500912
31.781	1501920
32.806	1503824
33.832	1505152
34.859	1505184
35.883	1505888
36.914	1506144
37.948	1516592
38.979	1626336
40.004	1789536
41.032	1861408
42.064	1861456
43.089	1861632
44.112	1862992
45.138	1863296
46.166	1863648
47.199	1863968
48.230	1866144
49.265	1867136
50.294	1871264
51.324	1871760
52.371	1871792
53.399	1872000
54.421	1872080
