workload	lane	samples	passed	min_resident_ms	median_resident_ms	p95_resident_ms	max_resident_ms	max_rss_kib
cold	snapshot	5	5	27	28	28	28	313052
cold	physical_pages	5	5	29	29	30	30	287316
exact_repeat	snapshot	5	5	38	39	40	40	313072
exact_repeat	physical_pages	5	5	42	42	43	43	288916
prefix_extension	snapshot	5	5	41	41	43	43	312816
prefix_extension	physical_pages	5	5	60	61	62	62	294100
alternating_prefix	snapshot	5	5	73	74	75	75	313100
alternating_prefix	physical_pages	5	5	103	103	104	104	299332
eviction_pressure	snapshot	5	5	182	184	185	185	313720
eviction_pressure	physical_pages	5	5	225	226	227	227	296800
