symbol	class	scoped_callsites	declaring_file
FreeLibrary	GENUINELY_MISSING	1	src/app/interpreter/ffi/extern.spl
GetProcAddress	GENUINELY_MISSING	1	src/app/interpreter/ffi/extern.spl
LoadLibraryA	GENUINELY_MISSING	1	src/app/interpreter/ffi/extern.spl
__native_resource_registry_clear	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/core/resource_registry.spl
__native_resource_registry_close_all	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/core/resource_registry.spl
__native_resource_registry_get_all	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/core/resource_registry.spl
__native_resource_registry_register	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/core/resource_registry.spl
__native_resource_registry_unregister	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/core/resource_registry.spl
__native_time_now	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/core/resource_registry.spl
__simple_call_module_inits	GENUINELY_MISSING	2	src/os/kernel/arch/riscv64/boot.spl
__simple_main	GENUINELY_MISSING	2	src/os/runtime/baremetal/runtime_minimal.spl
_get_bss_start	DEAD_DECLARATION	0	src/os/kernel/arch/x86_64/boot.spl
_get_kernel_end	GENUINELY_MISSING	7	src/os/kernel/arch/x86_32/boot.spl
_get_kernel_start	GENUINELY_MISSING	1	src/os/kernel/arch/x86_32/boot.spl
_http_get_response_body	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/core/net/http_client.spl
_http_post	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/core/net/http_client.spl
_rv64_enter_user	SHADOWED_BY_SPL_FN	2	src/os/kernel/arch/riscv64/context.spl
add_external	DEAD_DECLARATION	0	test/03_system/feature/usage/parser_functions_spec.spl
align_of	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/core_nogc/arena.spl
arm_fs_exec_trace	GENUINELY_MISSING	60	src/os/services/vfs/arm_fs_exec_vfs.spl
array_cap	SHADOWED_BY_SPL_FN	10	src/runtime/simple_core/core_array_ops.spl
array_flags	SHADOWED_BY_SPL_FN	8	src/runtime/simple_core/core_array_ops.spl
array_is_valid	SHADOWED_BY_SPL_FN	65	src/runtime/simple_core/core_array_ops.spl
array_items	SHADOWED_BY_SPL_FN	63	src/runtime/simple_core/core_array_ops.spl
array_len_value	SHADOWED_BY_SPL_FN	59	src/runtime/simple_core/core_array_ops.spl
array_ptr	SHADOWED_BY_SPL_FN	13	src/runtime/simple_core/core_array_ops.spl
async_join	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
async_read_file	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
async_select	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
async_sleep	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
async_write_file	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
barrier	GENUINELY_MISSING	2	src/compiler_rust/lib/std/src/gpu/kernel/memory.spl
barrier_and_fence	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/kernel/memory.spl
bits_to_float	GENUINELY_MISSING	3	src/lib/gc_async_mut/runtime_value.spl
browser	GENUINELY_MISSING	1	src/compiler/70.backend/backend/wasm_backend.spl
call_ffi_0	GENUINELY_MISSING	2	src/app/interpreter/ffi/extern.spl
call_ffi_1	GENUINELY_MISSING	2	src/app/interpreter/ffi/extern.spl
call_ffi_2	GENUINELY_MISSING	2	src/app/interpreter/ffi/extern.spl
call_ffi_3	GENUINELY_MISSING	2	src/app/interpreter/ffi/extern.spl
call_ffi_4	GENUINELY_MISSING	2	src/app/interpreter/ffi/extern.spl
char_code	SHADOWED_BY_SPL_FN	1	src/lib/nogc_sync_mut/web_framework/asset_pipeline.spl
clear_ffi_recording	external_library_symbol	0	test/01_unit/app/diagram/call_flow_profiling_spec.spl
clock_ms	external_library_symbol	3	src/os/tools/net/ping_tool.spl
create_streams	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/stream.spl
create_window	SHADOWED_BY_SPL_FN	1	src/compiler_rust/lib/std/examples/vulkan_triangle.spl
current_time_micros	external_library_symbol	6	src/lib/gc_async_mut/gc.spl
current_timestamp	external_library_symbol	2	src/app/portal/services/auth_service.spl
default_device	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/device.spl
default_stream	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/stream.spl
device_count	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/device.spl
devices	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/gpu/host/async_nogc_mut/device.spl
disable_ffi_recording	DEAD_DECLARATION	0	test/01_unit/app/diagram/call_flow_profiling_spec.spl
enable_ffi_recording	DEAD_DECLARATION	0	test/01_unit/app/diagram/call_flow_profiling_spec.spl
env_get	SHADOWED_BY_SPL_FN	22	src/lib/nogc_sync_mut/platform.spl
ffi_func	DEAD_DECLARATION	0	test/03_system/feature/usage/parser_functions_spec.spl
file_metadata	GENUINELY_MISSING	2	src/lib/nogc_async_mut/fs.spl
file_write_bytes	SHADOWED_BY_SPL_FN	2	src/lib/gc_async_mut/net/ffi.spl
float_to_bits	GENUINELY_MISSING	3	src/lib/gc_async_mut/runtime_value.spl
fs_copy_cstr	SHADOWED_BY_SPL_FN	20	src/runtime/simple_core/core_sha256.spl
future_alloc_pending	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
future_alloc_ready	DEAD_DECLARATION	0	src/lib/nogc_async_mut/async/sffi.spl
