# MIR backend coverage baseline — generated 2026-08-23 from origin/main 267debf50f0
# format: <backend>	<variant>   (one line per handled case arm)
cranelift_codegen_adapter	Aggregate
cranelift_codegen_adapter	Alloc
cranelift_codegen_adapter	BinOp
cranelift_codegen_adapter	Bitcast
cranelift_codegen_adapter	Call
cranelift_codegen_adapter	CallIndirect
cranelift_codegen_adapter	Cast
cranelift_codegen_adapter	CheckedBinOp
cranelift_codegen_adapter	DebugValue
cranelift_codegen_adapter	GetElementPtr
cranelift_codegen_adapter	GetField
cranelift_codegen_adapter	Intrinsic
cranelift_codegen_adapter	Load
cranelift_codegen_adapter	LoadGlobal
cranelift_codegen_adapter	Move
cranelift_codegen_adapter	Nop
cranelift_codegen_adapter	SetField
cranelift_codegen_adapter	Store
cranelift_codegen_adapter	StoreGlobal
cranelift_codegen_adapter	UnaryOp
common/mir_text_codegen	Aggregate
common/mir_text_codegen	Alloc
common/mir_text_codegen	Await
common/mir_text_codegen	BinOp
common/mir_text_codegen	Bitcast
common/mir_text_codegen	CallIndirect
common/mir_text_codegen	Cast
common/mir_text_codegen	CheckedBinOp
common/mir_text_codegen	Compose
common/mir_text_codegen	Const
common/mir_text_codegen	Copy
common/mir_text_codegen	CreatePromise
common/mir_text_codegen	DebugValue
common/mir_text_codegen	GetElementPtr
common/mir_text_codegen	GetField
common/mir_text_codegen	GpuAtomicCas
common/mir_text_codegen	GpuAtomicOp
common/mir_text_codegen	GpuBarrier
common/mir_text_codegen	GpuBlockDim
common/mir_text_codegen	GpuBlockId
common/mir_text_codegen	GpuGlobalId
common/mir_text_codegen	GpuGridDim
common/mir_text_codegen	GpuKernelDef
common/mir_text_codegen	GpuLaunch
common/mir_text_codegen	GpuLocalId
common/mir_text_codegen	GpuMemFence
common/mir_text_codegen	GpuSharedAlloc
common/mir_text_codegen	InlineAsm
common/mir_text_codegen	Intrinsic
common/mir_text_codegen	LayerConnect
common/mir_text_codegen	Load
common/mir_text_codegen	Move
common/mir_text_codegen	Nop
common/mir_text_codegen	Parallel
common/mir_text_codegen	PipeForward
common/mir_text_codegen	Receive
common/mir_text_codegen	Ref
common/mir_text_codegen	Send
common/mir_text_codegen	SetField
common/mir_text_codegen	SimdAddF32x4
common/mir_text_codegen	SimdAddF32x8
common/mir_text_codegen	SimdAddF64x4
common/mir_text_codegen	SimdAddI32x4
common/mir_text_codegen	SimdAddI32x8
common/mir_text_codegen	SimdAndI32x4
common/mir_text_codegen	SimdAndI32x8
common/mir_text_codegen	SimdDivF32x4
common/mir_text_codegen	SimdDivF32x8
common/mir_text_codegen	SimdDivF64x4
common/mir_text_codegen	SimdFmaF32x4
common/mir_text_codegen	SimdFmaF32x8
common/mir_text_codegen	SimdFmaF64x4
common/mir_text_codegen	SimdHaddF32x4
common/mir_text_codegen	SimdHmaxF32x4
common/mir_text_codegen	SimdHminF32x4
common/mir_text_codegen	SimdMulF32x4
common/mir_text_codegen	SimdMulF32x8
common/mir_text_codegen	SimdMulF64x4
common/mir_text_codegen	SimdMulI32x4
common/mir_text_codegen	SimdMulI32x8
common/mir_text_codegen	SimdOrI32x4
common/mir_text_codegen	SimdOrI32x8
common/mir_text_codegen	SimdShlI32x4
common/mir_text_codegen	SimdShlI32x8
common/mir_text_codegen	SimdShrI32x4
common/mir_text_codegen	SimdShrI32x8
common/mir_text_codegen	SimdSubF32x4
common/mir_text_codegen	SimdSubF32x8
common/mir_text_codegen	SimdSubF64x4
common/mir_text_codegen	SimdSubI32x4
common/mir_text_codegen	SimdSubI32x8
common/mir_text_codegen	SimdXorI32x4
common/mir_text_codegen	SimdXorI32x8
common/mir_text_codegen	Spawn
common/mir_text_codegen	Store
common/mir_text_codegen	UnaryOp
common/mir_text_codegen	VhdlConcat
common/mir_text_codegen	VhdlPortMap
common/mir_text_codegen	VhdlProcess
common/mir_text_codegen	VhdlResize
common/mir_text_codegen	VhdlSignalAssign
common/mir_text_codegen	VhdlSlice
common/mir_text_codegen	VhdlVarAssign
common/mir_text_codegen	Yield
llvm_lib_translate_expr	Aggregate
llvm_lib_translate_expr	Alloc
llvm_lib_translate_expr	BinOp
llvm_lib_translate_expr	Bitcast
llvm_lib_translate_expr	Call
llvm_lib_translate_expr	CallIndirect
llvm_lib_translate_expr	Cast
llvm_lib_translate_expr	CheckedBinOp
llvm_lib_translate_expr	Compose
llvm_lib_translate_expr	ConditionProbe
llvm_lib_translate_expr	Const
llvm_lib_translate_expr	Copy
llvm_lib_translate_expr	DebugValue
llvm_lib_translate_expr	DecisionProbe
llvm_lib_translate_expr	GetElementPtr
llvm_lib_translate_expr	GetField
llvm_lib_translate_expr	InlineAsm
llvm_lib_translate_expr	Intrinsic
llvm_lib_translate_expr	LayerConnect
llvm_lib_translate_expr	Load
llvm_lib_translate_expr	Move
llvm_lib_translate_expr	Nop
llvm_lib_translate_expr	Parallel
llvm_lib_translate_expr	PipeForward
llvm_lib_translate_expr	Ref
llvm_lib_translate_expr	SetField
llvm_lib_translate_expr	Store
llvm_lib_translate_expr	UnaryOp
wasm/wat_codegen	Aggregate
wasm/wat_codegen	Alloc
wasm/wat_codegen	BinOp
wasm/wat_codegen	Call
wasm/wat_codegen	CallIndirect
wasm/wat_codegen	Cast
wasm/wat_codegen	CheckedBinOp
wasm/wat_codegen	ConditionProbe
wasm/wat_codegen	Const
wasm/wat_codegen	Copy
wasm/wat_codegen	DebugValue
wasm/wat_codegen	DecisionProbe
wasm/wat_codegen	GetElementPtr
wasm/wat_codegen	GetField
wasm/wat_codegen	Intrinsic
wasm/wat_codegen	Load
wasm/wat_codegen	Move
wasm/wat_codegen	Nop
wasm/wat_codegen	SetField
wasm/wat_codegen	Store
wasm/wat_codegen	UnaryOp
opencl_backend	Aggregate
opencl_backend	Alloc
opencl_backend	BinOp
opencl_backend	Bitcast
opencl_backend	Call
opencl_backend	CallIndirect
opencl_backend	Cast
opencl_backend	CheckedBinOp
opencl_backend	Const
opencl_backend	Copy
opencl_backend	DebugValue
opencl_backend	GetElementPtr
opencl_backend	GetField
opencl_backend	GpuAtomicCas
opencl_backend	GpuAtomicOp
opencl_backend	GpuBarrier
opencl_backend	GpuBlockDim
