# Baseline for scripts/check/check-runtime-bundle-duplicate-symbols.shs
# Format: <symbol><TAB><comma-separated bundle files that define it>
# Generated 2026-07-24 from the current runtime_compiler.spl `sources`
# bundle. Every line here is a KNOWN, already-existing cross-file duplicate
# symbol in the runtime C bundle (mostly __attribute__((weak)) fallback
# pairs, e.g. runtime.c vs runtime_native.c, that the linker resolves
# without a multiple-definition error; some overlap with the flagship
# rt_enum_new divergence tracked by
# scripts/check/runtime_symbol_lane_divergence_baseline.txt — that file
# tracks BEHAVIORAL drift across build lanes, this file tracks
# LINK-BREAKING duplicate definitions within one bundle. Not every line here
# is confirmed behaviorally safe, only that it predates this gate).
# Only NEW pairs not listed here fail the check. Shrink this file as pairs
# get unified; never add to it without a one-line reason.
#
# THIRD FIELD `same` (2026-08-05): the normalized function body must be
# IDENTICAL in every listed file, enforced by the checker. A collision line
# alone is NOT a triage: spl_dlopen/spl_dlsym/spl_dlclose sat on this list
# from 2026-07-24 to 2026-08-05 while the two copies decoded their argument
# from DIFFERENT value encodings, and this file was green on a live bug.
# Mark every deliberate per-lane duplicate `same`; only genuinely different
# implementations (weak stub vs real) may omit it, with a comment saying why.
#
# spl_dlopen / spl_dlsym / spl_dlclose: runtime_dynload.c is the canonical
# owner (test/01_unit/compiler/backend/runtime_dynload_owner_source_spec.spl);
# runtime_native.c keeps a fallback copy for the lanes that omit
# runtime_dynload.c (native-all, and the core-c lane in
# native_project/tools.rs). runtime_compiler.spl defines
# SIMPLE_RUNTIME_DYNLOAD_OWNER whenever it pushes runtime_dynload, which
# compiles the fallback out -- so exactly ONE definition ships per bundle and
# the regex-only scanner (it does not read #if guards) still sees the pair.
# Until 2026-08-05 the runtime_native.c copy used a tagged-string-only
# decoder while the owner used rt_interp_cstr; runtime_native.o links first
# under -z muldefs, so the weaker copy WON and spl_dlopen returned 0 for a
# raw char* path -- indistinguishable from a missing library. Bodies are now
# byte-identical and marked `same`.
# rt_file_is_regular_no_follow: added to BOTH files by 7f156785ed1 (reject symlinked
# retained artifacts) because lane C (src/app/compile/native.spl rt_sources) compiles
# runtime.c without runtime_native.c and lane B (native_project/tools.rs) compiles
# runtime_native.c without runtime.c. Bodies verified byte-identical 2026-08-01.
# rt_is_interpreter_runtime: runtime_native.c's copy is inside
# #if defined(SIMPLE_CORE_C_STANDALONE) (added by c11d3d3ed55 for the core-c bundle,
# where runtime.c is absent); runtime.c's copy is unconditional. Only collides when the
# bundle is built with -DSIMPLE_CORE_C_STANDALONE=1 (include_dynload). Both bodies are
# `return false;` -- verified identical 2026-08-01.
# rt_sdl2_init: runtime_native.c's copy is an SPL_HOSTED_UNAVAILABLE_WEAK
# (__attribute__((weak))) `return 0;` refusal stub; runtime_sdl2.c has the real
# implementation. Deliberately DIFFERENT bodies resolved weak-vs-strong by the
# linker, so no `same` marker. Predates this session (present at HEAD); it was
# missing from the baseline only because this file was generated 2026-07-24,
# before runtime_sdl2 joined the bundle.
rt_atexit_check	runtime.c,runtime_native.c
rt_atexit_install	runtime.c,runtime_native.c
rt_atomic_int_compare_exchange	runtime.c,runtime_native.c
rt_atomic_int_load	runtime.c,runtime_native.c
rt_atomic_int_new	runtime.c,runtime_native.c
rt_bdd_describe_end	runtime.c,runtime_native.c
rt_bdd_describe_start_rv	runtime.c,runtime_native.c
rt_bdd_expect_eq_rv	runtime.c,runtime_native.c
rt_bdd_it_end	runtime.c,runtime_native.c
rt_bdd_it_start_rv	runtime.c,runtime_native.c
rt_bytes_to_text	runtime.c,runtime_native.c
rt_cli_arg_at	runtime.c,runtime_native.c
rt_cli_arg_count	runtime.c,runtime_native.c
rt_cli_get_args	runtime.c,runtime_native.c
rt_crc32_text	runtime.c,runtime_legacy_core.c
rt_dir_exists	runtime.c,runtime_native.c
rt_dir_walk	runtime.c,runtime_legacy_core.c
rt_enum_check_discriminant	runtime.c,runtime_native.c
rt_enum_discriminant	runtime.c,runtime_native.c
rt_enum_id	runtime.c,runtime_native.c
rt_enum_new	runtime.c,runtime_native.c
rt_enum_payload	runtime.c,runtime_native.c
rt_file_append	runtime.c,runtime_legacy_core.c
rt_file_delete	runtime.c,runtime_native.c
rt_file_exists	runtime.c,runtime_native.c
rt_file_is_regular_no_follow	runtime.c,runtime_native.c	same
rt_file_read_text	runtime.c,runtime_native.c
rt_file_size	runtime.c,runtime_native.c
rt_file_sync	runtime.c,runtime_legacy_core.c
rt_file_write	runtime.c,runtime_legacy_core.c
rt_is_interpreter_runtime	runtime.c,runtime_native.c
rt_sdl2_init	runtime_native.c,runtime_sdl2.c
rt_signal_check	runtime.c,runtime_native.c
rt_signal_install	runtime.c,runtime_native.c
rt_str_hash	runtime.c,runtime_legacy_core.c
rt_text_to_bytes	runtime.c,runtime_native.c
rt_thread_sleep	runtime_native.c,runtime_thread.c
spl_arg_count	runtime.c,runtime_native.c
spl_array_get	runtime.c,runtime_legacy_core.c
spl_array_len	runtime.c,runtime_legacy_core.c
spl_array_new	runtime.c,runtime_legacy_core.c
spl_array_new_cap	runtime.c,runtime_legacy_core.c
spl_array_pop	runtime.c,runtime_legacy_core.c
spl_array_push	runtime.c,runtime_legacy_core.c
spl_array_push_i64	runtime.c,runtime_legacy_core.c
spl_as_str	runtime.c,runtime_legacy_core.c
spl_dict_contains	runtime.c,runtime_legacy_core.c
spl_dict_get	runtime.c,runtime_legacy_core.c
spl_dict_len	runtime.c,runtime_legacy_core.c
spl_dict_new	runtime.c,runtime_legacy_core.c
spl_dict_set	runtime.c,runtime_legacy_core.c
spl_dlclose	runtime_dynload.c,runtime_native.c	same
spl_dlopen	runtime_dynload.c,runtime_native.c	same
spl_dlsym	runtime_dynload.c,runtime_native.c	same
spl_env_get	runtime.c,runtime_legacy_core.c
spl_file_read	runtime.c,runtime_legacy_core.c
spl_get_arg	runtime.c,runtime_native.c
spl_init_args	runtime.c,runtime_native.c
spl_int	runtime.c,runtime_legacy_core.c
spl_panic	runtime.c,runtime_legacy_core.c
spl_print	runtime.c,runtime_legacy_core.c
spl_println	runtime.c,runtime_legacy_core.c
spl_str	runtime.c,runtime_legacy_core.c
spl_str_cmp	runtime.c,runtime_legacy_core.c
spl_str_concat	runtime.c,runtime_legacy_core.c
spl_str_hash	runtime.c,runtime_legacy_core.c
spl_str_index_of	runtime.c,runtime_legacy_core.c
spl_str_len	runtime.c,runtime_legacy_core.c
spl_str_new	runtime.c,runtime_legacy_core.c
spl_str_ptr	runtime.c,runtime_native.c
spl_str_replace	runtime.c,runtime_legacy_core.c
spl_str_slice	runtime.c,runtime_legacy_core.c
spl_str_split	runtime.c,runtime_legacy_core.c
spl_strdup	runtime.c,runtime_legacy_core.c
spl_thread_cpu_count	runtime_legacy_core.c,runtime_thread.c
# rt_is_jit_runtime / spl_eprintln / rt_dir_list (2026-08-22): core-C archive
# (native_project/tools.rs runtime_inputs) never includes runtime.c, so the
# core-C lane had no definition and the core-required ABI / native link was
# short one symbol each (see seed_cargo_test_backlog_2026-08-21.md rows 34-36).
# rt_is_jit_runtime: runtime_native.c copy is inside SIMPLE_CORE_C_STANDALONE,
# same shape as rt_is_interpreter_runtime above; both bodies `return false;`.
# spl_eprintln: runtime_legacy_core.c beside spl_print/spl_println; both bodies
# fputs(s, stderr)+newline (runtime.c guards NULL by skipping, legacy by "").
# rt_dir_list: both return (ptr,len)->array of entry-name texts, EMPTY array on
# an unreadable path; runtime.c goes through rt_dir_list_cpath, runtime_native.c
# walks opendir/readdir directly. Verified 2026-08-22.
rt_is_jit_runtime	runtime.c,runtime_native.c
spl_eprintln	runtime.c,runtime_legacy_core.c
rt_dir_list	runtime.c,runtime_native.c
