   5721 0	OK
   3065 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: runtime_file_rename") 
   1891 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: <N> function(s) contain constructs that require the interprete
    604 1	error: compile failed (<P>): semantic: <P>: SMF emission failed for <P>: the entry script could not be lowered to a real `main` entry point 
    575 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: string_core_text_to_bytes") 
    555 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: panic") 
    111 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: wrap_text") 
    100 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Indent 
     93 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: char_code") 
     70 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Array") 
     62 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: IoError") 
     59 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: unsafe") 
     58 1	error: compile failed (<P>): codegen: Failed to parse object into relocation-aware SMF: Invalid data: Failed to parse object file: Invalid s
     55 1	error: compile failed (<P>): lint: error: false boolean matcher wrapper in spec/example; use expect_not(condition) instead of .to_equal(fals
     49 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: value") 
     43 1	error: compile failed (<P>): lint: error: SPipe example has no real assertion or sanctioned skip [spipe_empty_examples] 
     41 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: String") 
     40 1	error: compile failed (<P>): lint: error: explicit placeholder function body [stub_impl] 
     37 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: print_raw") 
     34 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering user_load_segment_file
     33 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: text") 
     29 1	error: compile failed (<P>): semantic: <P>: MIR lowering: Unsupported HIR construct: unknown variant or method 'CW' on enum SkPathDirection 
     28 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_sync_mut.debug.remote.types` (higher_lay
     26 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: json") 
     25 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: process_run") 
     24 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: bytes_to_hex") 
     23 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: str_char_at") 
     23 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: InternFnSpec") 
     22 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Types") 
     22 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Colon 
     22 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_sync_mut.io.process_ops` (higher_layer_r
     21 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: string") 
     19 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: char_from_code") 
     18 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: NativeTensor") 
     18 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Unsupported feature: cannot infer field type while lowering NodeStore.get_node: st
     18 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_sync_mut.io.file_ops` (higher_layer_runt
     17 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: gpu_wdb_plan_batch") 
     15 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Colon, found Dot 
     15 1	error: compile failed (<P>): codegen: Module error: codegen: <N> function body/bodies failed to compile: [main]; set SIMPLE_ALLOW_STUB_FALLB
     14 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: common") 
     13 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Dot 
     13 1	error: compile failed (<P>): lint: error: runtime family `gc_async_mut` must not import `std.nogc_sync_mut.gpu.engine<N>d.math_hooks` (gc_im
     12 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: WindowRecord") 
     12 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: none") 
     12 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: mqtt_create_packet") 
     12 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: ConstructCapsule") 
     12 1	error: compile failed (<P>): semantic: <P>: struct `Transform<N>D` has no field named `position` 
     11 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: types") 
     11 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: InterpreterError") 
     11 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: __bdd_register_group") 
     11 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Dedent 
     11 1	error: compile failed (<P>): parse: in "<P> Syntax error at <N>:<N>: reserved keyword 'val' cannot be used as a parameter name 
     11 1	error: compile failed (<P>): lint: error: runtime family `gc_async_mut` must not import `std.nogc_sync_mut.ui.host_frame_clock` (gc_imports_
     10 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: extract_json_field") 
     10 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Indent, found Self_ 
     10 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.async.future` (higher_layer_runtime_family) [
      9 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: text_to_bytes") 
      9 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: rt_tls<N>_aes<N>_gcm_encrypt") 
      9 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: MatchResult") 
      9 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: join_lines") 
      9 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: get_stat_mean") 
      9 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: get_args") 
      9 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: AuthorityToken") 
      8 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: shell") 
      8 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: i<N>_to_hex_byte") 
      8 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: get_frame_headers") 
      8 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: common_parse_hex_color") 
      8 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: bytes_to_text") 
      8 1	error: compile failed (<P>): semantic: <P>: struct `SourceAnchor` has no field named `file` 
      8 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected identifier, found Integer(<N>) 
      8 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected identifier, found Go 
