    920 0	OK
    506 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: runtime_file_rename") 
    129 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: panic") 
    104 1	error: compile failed (<P>): semantic: <P>: SMF emission failed for <P>: the entry script could not be lowered to a real `main` entry point 
     46 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: string_core_text_to_bytes") 
     29 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 1 function(s) contain constructs that require the interpreter: 
     29 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 14 function(s) contain constructs that require the interpreter: 
     22 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: str_char_at") 
     21 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: InternFnSpec") 
     21 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 13 function(s) contain constructs that require the interpreter: 
     15 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 4 function(s) contain constructs that require the interpreter: 
     15 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 3 function(s) contain constructs that require the interpreter: 
     12 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 8 function(s) contain constructs that require the interpreter: 
     11 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: wrap_text") 
     11 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: InterpreterError") 
     10 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: print_raw") 
     10 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 2 function(s) contain constructs that require the interpreter: 
     10 1	error: compile failed (<P>): lint: error: SPipe example has no real assertion or sanctioned skip [spipe_empty_examples] 
      8 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: AuthorityToken") 
      6 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: ArrayBuilder__with_capacity") 
      6 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 7 function(s) contain constructs that require the interpreter: 
      6 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 15 function(s) contain constructs that require the interpreter: 
      6 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Import, found LBrace 
      6 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Colon, found Identifier { name: "Some", pattern: TypeName } 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: join_lines") 
      5 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: i64") 
      5 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 5 function(s) contain constructs that require the interpreter: 
      5 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 17 function(s) contain constructs that require the interpreter: 
      5 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Colon, found Dot 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: request_create_headers") 
      4 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: get_args") 
      4 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 6 function(s) contain constructs that require the interpreter: 
      4 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 22 function(s) contain constructs that require the interpreter: 
      4 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 21 function(s) contain constructs that require the interpreter: 
      4 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 18 function(s) contain constructs that require the interpreter: 
      4 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 16 function(s) contain constructs that require the interpreter: 
      4 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 12 function(s) contain constructs that require the interpreter: 
      4 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected LParen, found Lt 
      4 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Slash 
      4 1	error: compile failed (<P>): parse: in "<P> Syntax error at 59:19: reserved keyword 'actor' cannot be used as a parameter name 
      4 1	error: compile failed (<P>): lint: error: explicit placeholder function body [stub_impl] 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: text") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: split_lines") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: name") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: io_runtime") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: eval_control") 
      3 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 31 function(s) contain constructs that require the interpreter: 
      3 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 30 function(s) contain constructs that require the interpreter: 
      3 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 29 function(s) contain constructs that require the interpreter: 
      3 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 28 function(s) contain constructs that require the interpreter: 
      3 1	error: compile failed (<P>): parse: in "<P> Syntax error at 61:16: reserved keyword 'val' cannot be used as a parameter name 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: substring") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: parse_leak_check_args") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: json") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: intern_codegen") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: file_exists") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: exit") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: env_home") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: char_from_code") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: char_code") 
      2 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: AuthorityLevel") 
      2 1	error: compile failed (<P>): semantic: <P>: struct `MarkdownBuilder` has no field named `content` 
      2 1	error: compile failed (<P>): semantic: <P>: HIR lowering: cannot resolve import `portal.models.package_model`: Module resolution error: SemanticWithCo
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 76 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 39 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 37 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 33 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 32 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 19 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 188 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): semantic: <P>: cannot compile to standalone SMF: 120 function(s) contain constructs that require the interpreter: 
      2 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected pattern, found StructuredExport 
      2 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Fn, found Import 
      2 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Eof 
      2 1	error: compile failed (<P>): codegen: Failed to parse object into relocation-aware SMF: Invalid data: Failed to parse object file: Invalid section: re
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: value") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: TreeSitterParser") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: to_int") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: TargetKind") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: TableBuilder") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: shell") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: sdn_parse_value") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: sdn_parse") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: scanner") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: RtlQorRun") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: rt_env_get") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: rt_cli_args") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: return") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: reset_timeout") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Rect") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: PromptCommandDescriptor") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: process_run") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: platform_default_config") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: parser") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: parse") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: min_int") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: MCPListPanelAgentServerInfo") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: LspTransportConfig") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: item") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: is_timeout_exceeded") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: id_path_to_text") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: hooksCommandName") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: helpCommandName") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: gui_backend_default_config") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: get_command_table") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: fs") 
      1 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: file_write") 
